@relation yeast
@attribute atr1 numeric
@attribute atr2 numeric
@attribute atr3 numeric
@attribute atr4 numeric
@attribute atr5 numeric
@attribute atr6 numeric
@attribute atr7 numeric
@attribute atr8 numeric
@attribute atr9 numeric
@attribute atr10 numeric
@attribute atr11 numeric
@attribute atr12 numeric
@attribute atr13 numeric
@attribute atr14 numeric
@attribute atr15 numeric
@attribute atr16 numeric
@attribute atr17 numeric
@attribute atr18 numeric
@attribute atr19 numeric
@attribute atr20 numeric
@attribute Classe {cluster1,cluster2,cluster3,cluster4}

@data
0.0495,-0.17675,-0.45525,-0.436,-0.5685,0.05775,-0.2295,-0.24375,-0.381,-0.0495,-0.60425,-0.07925,-0.56825,-0.20775,-0.56625,-0.22625,-0.3885,-0.08575,-0.2765,-0.51675,cluster1
0.0245,-0.393,-0.287,-0.40675,-0.36775,-0.06475,-0.14725,-0.35075,-0.4135,-0.01125,-0.50525,-0.204,-0.5415,-0.25475,-0.4685,-0.281,-0.41325,-0.228,-0.38375,-0.87425,cluster1
0.03025,-0.2935,-0.2365,-0.387,-0.51375,-0.03425,-0.16575,-0.40425,-0.52075,-0.05575,-0.52475,-0.15025,-0.571,-0.2725,-0.5175,-0.19025,-0.312,-0.20275,-0.3545,-0.6235,cluster1
0.0155,-0.47,-0.29775,-0.3285,-0.44325,-0.172,-0.093,-0.45725,-0.44325,-0.11825,-0.241,-0.3535,-0.61675,-0.3315,-0.695,-0.34225,-0.33075,-0.2905,-0.3195,-0.8905,cluster1
0.02875,-0.4325,-0.27625,-0.34725,-0.48725,-0.067,-0.19425,-0.4295,-0.2845,-0.05025,-0.427,-0.32375,-0.36275,-0.26825,-0.3985,-0.29075,-0.293,-0.22775,-0.2275,-0.34,cluster1
-0.05575,-0.4625,-0.22275,-0.3105,-0.3075,-0.154,-0.1585,-0.3945,-0.26675,0.00675,-0.29925,-0.25875,-0.47825,-0.22475,-0.481,-0.2935,-0.322,-0.19825,-0.22325,-0.6555,cluster1
0.00925,-0.40075,-0.20125,-0.467,-0.35175,-0.07675,-0.2175,-0.37825,-0.48125,-0.01225,-0.532,-0.11275,-0.45175,-0.223,-0.4495,-0.23025,-0.3185,-0.193,-0.27325,-0.74425,cluster1
0.0545,-0.58775,-0.33575,-0.409,-0.38,-0.199,-0.1795,-0.45075,-0.419,-0.064,-0.302,-0.38125,-0.61275,-0.27975,-0.5895,-0.43675,-0.429,-0.24475,-0.35175,-0.9065,cluster1
0.0535,-0.4085,-0.28675,-0.48975,-0.43725,-0.0515,-0.19625,-0.415,-0.54775,-0.0575,-0.67325,-0.202,-0.582,-0.32,-0.5995,-0.23375,-0.3695,-0.2625,-0.3645,-0.80025,cluster1
0.02125,-0.2845,-0.2325,-0.3545,-0.3295,-0.087,-0.12725,-0.35,-0.41075,-0.02275,-0.6435,-0.1705,-0.55475,-0.29575,-0.53875,-0.21325,-0.4095,-0.218,-0.30325,-0.788,cluster1
-0.04475,-0.418,-0.17125,-0.45825,-0.3305,-0.11025,-0.19025,-0.4785,-0.437,0.06925,-0.52175,-0.1125,-0.5275,-0.27375,-0.49675,-0.224,-0.38,-0.17925,-0.262,-0.63125,cluster1
0.03325,-0.28975,-0.3155,-0.40375,-0.44375,-0.04625,-0.115,-0.42275,-0.46425,-0.049,-0.63725,-0.1845,-0.5435,-0.2665,-0.5415,-0.20575,-0.2805,-0.18175,-0.33775,-0.6565,cluster1
0.0395,-0.34275,-0.30625,-0.404,-0.37375,-0.02775,-0.121,-0.36925,-0.41575,-0.039,-0.6745,-0.1815,-0.5495,-0.2625,-0.56425,-0.24525,-0.39575,-0.17825,-0.36075,-0.7815,cluster1
0.0715,-0.2895,-0.246,-0.31975,-0.2675,-0.071,-0.1295,-0.3445,-0.32575,-0.036,-0.5645,-0.16075,-0.46625,-0.23425,-0.44575,-0.1695,-0.2835,-0.1805,-0.2665,-0.7055,cluster1
-0.01875,-0.32275,-0.13125,-0.34025,-0.2515,-0.08425,-0.13675,-0.37725,-0.35625,0.10925,-0.42475,-0.1505,-0.42975,-0.26475,-0.3915,-0.143,-0.41725,-0.1905,-0.26375,-0.72675,cluster1
-0.1105,-0.40025,-0.23075,-0.2525,-0.24925,-0.20625,-0.09275,-0.4615,-0.28475,0.011,-0.2815,-0.2135,-0.44975,-0.25325,-0.34175,-0.21625,-0.33,-0.208,-0.21925,-0.7585,cluster1
0.034,-0.3755,-0.3575,-0.45625,-0.416,-0.01675,-0.165,-0.395,-0.54325,-0.022,-0.77175,-0.26575,-0.64575,-0.34875,-0.62925,-0.30775,-0.45275,-0.302,-0.408,-0.8985,cluster1
-0.03225,-0.37325,-0.2815,-0.37125,-0.23975,-0.09125,-0.2065,-0.34475,-0.3105,0.0545,-0.517,-0.11225,-0.45775,-0.19075,-0.43575,-0.224,-0.37425,-0.165,-0.285,-0.77425,cluster1
-0.00925,-0.278,-0.28325,-0.31725,-0.30675,-0.04575,-0.14925,-0.22375,-0.329,-0.0705,-0.532,-0.08325,-0.3945,-0.1515,-0.3895,-0.24475,-0.27375,-0.108,-0.2705,-0.697,cluster1
-0.00275,-0.36475,-0.26975,-0.4045,-0.40925,-0.04725,-0.16075,-0.439,-0.47425,0.03875,-0.639,-0.213,-0.63525,-0.30775,-0.57425,-0.2755,-0.41725,-0.246,-0.393,-0.7355,cluster1
0.0445,-0.46275,-0.375,-0.54025,-0.4465,-0.0505,-0.19325,-0.4225,-0.55175,-0.0765,-0.76075,-0.2235,-0.672,-0.30675,-0.63175,-0.3105,-0.45025,-0.244,-0.39975,-0.85225,cluster1
0.05475,-0.37225,-0.32225,-0.448,-0.43925,-0.022,-0.18575,-0.39825,-0.5265,-0.0605,-0.6795,-0.22575,-0.6115,-0.3145,-0.584,-0.2305,-0.37725,-0.27425,-0.39275,-0.81125,cluster1
0.0125,-0.31675,-0.1185,-0.2865,-0.139,-0.10825,-0.0815,-0.322,-0.189,0.08825,-0.5745,-0.06875,-0.555,-0.20775,-0.5095,-0.18375,-0.45625,-0.1025,-0.22025,-0.66075,cluster1
0.046,-0.39025,-0.27025,-0.48675,-0.416,-0.07325,-0.17175,-0.45425,-0.5135,-0.01,-0.72325,-0.223,-0.63225,-0.3825,-0.614,-0.244,-0.41325,-0.2645,-0.38625,-0.7555,cluster1
0.03725,-0.32075,-0.2455,-0.41275,-0.40025,-0.11275,-0.1615,-0.4235,-0.43525,0.01625,-0.609,-0.20475,-0.5175,-0.30425,-0.5085,-0.22075,-0.30525,-0.218,-0.30625,-0.624,cluster1
0.071,-0.2855,-0.30075,-0.35575,-0.44925,-0.003,-0.184,-0.38425,-0.39175,-0.00325,-0.75525,-0.176,-0.6445,-0.322,-0.6095,-0.29525,-0.41075,-0.21175,-0.3025,-0.697,cluster1
-0.0035,-0.41775,-0.25975,-0.44625,-0.4165,-0.0765,-0.17275,-0.43775,-0.4565,0.017,-0.632,-0.192,-0.61575,-0.294,-0.56775,-0.28925,-0.40225,-0.232,-0.37025,-0.7225,cluster1
0.00975,-0.27975,-0.268,-0.2915,-0.338,-0.09275,-0.1225,-0.3495,-0.207,-0.06025,-0.29825,-0.23,-0.33075,-0.2315,-0.332,-0.1995,-0.27,-0.188,-0.1385,-0.6465,cluster1
-0.0065,-0.416,-0.066,-0.41875,-0.233,-0.11125,-0.1655,-0.369,-0.333,0.10675,-0.4995,-0.088,-0.49825,-0.261,-0.45425,-0.1815,-0.44175,-0.173,-0.28675,-0.6905,cluster1
-0.01125,-0.37325,-0.265,-0.39275,-0.26175,-0.0725,-0.17575,-0.34725,-0.3465,0.033,-0.5865,-0.119,-0.4975,-0.2575,-0.4735,-0.31275,-0.34475,-0.22325,-0.2845,-0.76475,cluster1
0.05375,-0.287,-0.3485,-0.33525,-0.32625,0.00025,-0.147,-0.329,-0.30125,-0.0275,-0.60375,-0.1445,-0.462,-0.26125,-0.468,-0.274,-0.31525,-0.208,-0.3065,-0.6775,cluster1
-0.01425,-0.66975,0.06775,-0.176,0.18925,0.0905,0.22725,-0.1905,0.1505,0.07575,-0.14475,-0.03475,-0.0635,-0.0245,0.181,-0.1465,0.06775,-0.053,0.0005,-0.557,cluster2
-0.04,-0.594,0.16475,-0.02025,0.3385,-0.1105,0.08875,-0.08775,0.31675,0.13425,-0.0545,0.004,-0.00675,0.048,0.2005,0.009,-0.0555,-0.01825,0.11275,-0.801,cluster2
-0.01975,-0.52475,0.119,-0.091,0.23825,-0.02425,-0.012,0.17875,0.14775,0.116,0.056,0.179,0.12325,0.03225,0.2335,0.09425,-0.1065,0.0985,0.13075,-1.00325,cluster2
-0.0435,-0.54275,0.04275,-0.15,0.24075,-0.086,0.06475,-0.0915,0.3335,0.009,-0.25125,0.057,-0.078,0.06175,0.13675,0.07725,-0.01425,0.0075,0.11225,-0.268,cluster2
0.01525,-0.4995,0.119,-0.0915,-0.13075,-0.228,-0.0995,-0.283,-0.063,0.00525,-0.07725,-0.17125,-0.24825,-0.07,-0.141,0.0785,0.01775,-0.01475,0.0645,-0.6795,cluster2
-0.003,-0.697,0.1295,-0.215,0.262,-0.0195,0.037,-0.11325,0.29725,-0.008,-0.23225,-0.11375,-0.08325,-0.05825,0.0765,-0.00825,-0.16825,-0.09275,0.02525,-0.34875,cluster2
-0.005,-0.728,0.126,-0.20325,0.25375,-0.002,-0.0115,-0.1215,0.27625,0.07725,-0.2185,-0.0885,-0.02725,-0.11475,0.10475,-0.01175,-0.161,-0.10625,0.046,-0.37525,cluster2
-0.03525,-0.6755,-0.044,-0.046,0.3865,-0.0045,0.09425,-0.03425,0.41625,0.11175,0.1195,-0.03675,0.03,0.056,0.3165,0.00775,-0.03675,-0.058,0.11125,-0.57775,cluster2
-0.0365,-0.56325,0.05075,-0.08775,0.27025,-0.05125,0.05125,-0.11175,0.29775,0.12725,-0.02125,-0.036,0.06775,0.023,0.20675,-0.001,-0.02675,-0.012,0.0945,-0.34675,cluster2
0.01,-0.3725,0.0125,-0.08975,0.20425,-0.098,0.042,-0.09475,0.218,0.10625,-0.05275,-0.12825,-0.01325,-0.0295,0.1425,-0.00525,-0.0335,-0.16675,-0.00775,-0.41275,cluster2
-0.003,0.1235,-0.11,0.08925,-0.202,0.03775,-0.0555,-0.0005,-0.17975,-0.055,-0.08925,0.059,-0.04675,0.027,-0.14,-0.00175,0.0635,0.04125,0.05225,0.00175,cluster2
0.00275,0.0775,-0.03,0.03925,-0.064,-0.23075,-0.00525,-0.10775,-0.066,0.056,-0.05275,0.0045,0.014,-0.12225,-0.0655,0.0805,0.01975,0.0065,0.00275,-0.03275,cluster2
-0.03125,-0.3825,-0.21375,-0.00775,-0.09725,-0.317,-0.01475,-0.19775,0.06775,0.0435,0.1085,-0.08075,-0.24925,-0.00625,-0.238,-0.0425,-0.25225,0.00275,0.171,-0.7115,cluster2
-0.00975,-0.26,0.038,0.19825,0.02,-0.0885,-0.042,0.12125,0.26475,0.0835,-0.02225,-0.00775,0.098,0.17925,0.14575,-0.00975,-0.05975,0.11375,0.2465,0.0175,cluster2
0.136,-0.39325,-0.09375,-0.0765,-0.269,-0.118,0.0175,-0.08175,-0.1005,-0.1685,0.045,-0.357,-0.21775,-0.012,-0.318,0.04425,0.028,-0.113,0.08525,-0.54925,cluster2
0.01575,0.076,-0.23,0.05625,-0.2795,-0.0765,-0.0295,0.10275,-0.014,-0.196,0.077,-0.121,0.22125,-0.00075,-0.151,-0.006,0.066,0.09225,0.08725,0.10975,cluster3
-0.0785,-0.0345,-0.172,0.00575,-0.168,-0.0835,0.08925,0.00725,0.04325,-0.16175,0.113,-0.303,0.0345,-0.12625,-0.109,-0.08025,-0.01425,-0.0105,-0.0495,0.3015,cluster3
0.02775,0.039,-0.14775,0.064,-0.27025,-0.01975,-0.0635,0.004,-0.04925,-0.2045,0.07675,-0.1105,0.0385,-0.03825,-0.0635,0.01775,0.0275,0.008,-0.04325,0.2715,cluster3
-0.03425,0.0535,-0.1345,0.03225,-0.17475,0.09425,-0.0035,-0.0035,0.05425,-0.23375,0.101,-0.04925,0.0395,-0.01225,-0.011,-0.035,-0.08125,0.02575,0.02975,0.756,cluster3
0.029,0.06075,-0.25775,0.12125,-0.25375,0.05725,-0.016,0.069,0.0755,-0.0415,0.0325,-0.03775,0.02175,-0.0315,-0.4655,0.03175,0.10875,0.03925,-0.04675,0.232,cluster3
0.034,-0.0215,0.08725,0.0005,-0.22975,-0.098,-0.01275,0.0695,-0.04775,-0.139,0.13175,-0.0575,0.065,0.07725,0.048,-0.03375,0.07525,-0.02725,-0.01275,0.12825,cluster3
0.05175,0.17625,-0.03,0.076,-0.0785,0.0695,-0.032,0.07725,-0.0445,0.255,-0.12,0.03,0.33775,0.0255,-0.09475,0.2355,0.2135,0.1585,0.08375,0.23225,cluster3
0.096,0.16625,-0.00425,0.13225,-0.17175,0.04925,0.01075,0.10775,0.0185,0.01525,0.04475,-0.0315,0.12975,0.031,0.0355,0.06175,0.068,0.02925,0.06,0.32025,cluster3
0.00225,-0.024,-0.282,0.06175,-0.2525,0.04075,-0.00425,0.01225,0.026,-0.1,-0.00025,-0.06475,0.04475,0.019,-0.21625,-0.12175,0.197,0.0035,-0.0365,0.76075,cluster3
0.16275,0.29625,0.22875,0.187,0.048,0.37025,0.112,0.1575,0.148,0.127,0.25775,0.26575,0.245,0.161,0.24125,0.12425,0.12025,0.1995,0.03275,0.52,cluster3
0.1195,0.336,-0.02675,0.042,-0.287,0.1065,-0.02675,0.1025,-0.08525,-0.041,-0.16825,0.185,0.0825,0.0815,0.0255,0.09625,0.06875,0.09775,-0.0995,0.218,cluster3
0.06625,0.282,0.4155,0.31375,-0.21775,-0.074,0.03325,0.224,0.1275,-0.04525,-0.01475,0.24175,0.1845,0.2315,0.086,0.31075,0.16175,0.2445,0.205,0.38725,cluster3
0.01625,0.20325,0.17225,0.12425,0.05825,0.03025,0.047,0.093,0.07575,-0.03475,0.22425,0.175,0.132,0.107,0.14275,0.0915,0.16775,0.161,0.0585,0.41125,cluster3
0.07975,0.2955,0.1925,0.079,-0.08675,0.1945,0.16925,0.161,0.1715,-0.3335,0.0405,0.33725,-0.04275,0.1935,0.15825,0.155,0.03125,0.2555,-0.033,0.48125,cluster3
-0.05325,-0.076,0.0015,0.072,-0.26225,-0.1995,0.0305,-0.1065,-0.02625,-0.728,0.03,-0.233,-0.05425,-0.033,-0.27075,0.094,0.081,0.08375,-0.02175,0.21075,cluster3
0.011,0.11725,0.01,0.0605,-0.51875,0.013,-0.00225,0.0195,-0.00525,-0.0385,0.13675,-0.0885,-0.059,-0.0355,-0.196,0.09,0.02025,0.032,-0.049,0.05,cluster3
-0.006,0.13025,0.1355,0.15975,-0.36325,-0.0995,-0.10675,0.09675,-0.03325,-0.03825,-0.32075,0.03,0.022,-0.0025,-0.2215,0.2205,0.12425,0.09175,-0.0615,0.29575,cluster3
